,code,occupation,tasks,score
1034,2423,Personnel And Career Professionals,Maintaining personnel records and associated human resource information systems,0.65
1035,2423,Personnel And Career Professionals,"Studying and analysing jobs performed in an establishment, conducting interviews with workers, supervisors and the management, and writing detailed post, job and occupation descriptions from data obtained",0.65
1036,2423,Personnel And Career Professionals,Preparing occupational information booklets/pamphlets and occupational classification systems,0.75
1037,2423,Personnel And Career Professionals,"Advising on aspects of personnel administration, manpower research and planning, training or occupational information and vocational guidance",0.65
1038,2423,Personnel And Career Professionals,"Studying and advising individuals on employment opportunities, career choices and further education or training",0.65
1039,2423,Personnel And Career Professionals,"Providing guidance to students, parents and teachers in a wide range of matters, including students’ personal problems, learning difficulties and special needs",0.35
1040,2423,Personnel And Career Professionals,Enhancing knowledge and coordinating work performance,0.45
1041,2424,Training And Staff Development Professionals,Identifying training needs and requirements of individuals and organisations,0.65
1042,2424,Training And Staff Development Professionals,Setting human resource development objectives and evaluating learning outcomes,0.45
1043,2424,Training And Staff Development Professionals,"Preparing and developing instructional training material and aids such as handbooks, visual aids, online tutorials, demonstration models and supporting training reference documentation",0.7
1044,2424,Training And Staff Development Professionals,"Designing, coordinating, scheduling and conducting training and development programmes that can be delivered in the form of individual and group instruction, and facilitating workshops, meetings, demonstrations and conferences",0.4
1045,2424,Training And Staff Development Professionals,Liaising with external training providers to arrange delivery of specific training and development programmes,0.45
1046,2424,Training And Staff Development Professionals,"Promoting internal and external training and development, and evaluating these promotional activities",0.45
1047,2424,Training And Staff Development Professionals,"Monitoring and conducting ongoing evaluation and assessment of internal and external training quality and effectiveness, and reviewing and modifying training objectives, methods and course deliverables",0.45
1048,2424,Training And Staff Development Professionals,Enhancing knowledge and coordinating work performance,0.45
1049,2425,Administrative Professionals,"Planning, formulating and implementing public policies",0.35
1050,2425,Administrative Professionals,"Preparing working papers, concept papers and reports on organisational performance",0.75
1051,2425,Administrative Professionals,Organising meetings / conferences,0.75
1052,2425,Administrative Professionals,Conducting research and maintaining organisational profile and database,0.7
1053,2425,Administrative Professionals,Coordinating travel arrangements for staff on work matters,0.75
1054,2425,Administrative Professionals,Preparing and assessing follow-up reports of staff and/or clients,0.75
1055,2425,Administrative Professionals,Coordinating all training courses and maintaining staff training records,0.65
1056,2425,Administrative Professionals,Maintaining scheduling record,0.85
1057,2425,Administrative Professionals,"Handling stationery requisition, printing, binding and general logistics support",0.4
1058,2425,Administrative Professionals,Enhancing knowledge and coordinating work performance,0.65
1059,2426,Research And Development Professionals,Conducting research to produce new discoveries,0.4
1060,2426,Research And Development Professionals,Conducting research to improve the quality of existing inventions,0.45
1061,2426,Research And Development Professionals,Conducting research to improve production,0.65
1062,2426,Research And Development Professionals,Evaluating and determining the results of such research could be used for development purposes,0.65
1063,2426,Research And Development Professionals,Enforcing relevant acts,0.3
1064,2426,Research And Development Professionals,"Carrying out studies and research on quality assurance, research and the transfer of science and technology and development, and training courses for users in the country",0.45
1065,2426,Research And Development Professionals,"Conducting basic and applied research, expert advice, and disseminate information on related technologies in the country",0.45
1066,2426,Research And Development Professionals,Carrying out research development (R &  in various fields,0.45
1067,2426,Research And Development Professionals,Enhancing knowledge and coordinating the work performance,0.45
1068,2431,Advertising And Marketing Professionals,"Planning, implementing and monitoring various business activities",0.45
1069,2431,Advertising And Marketing Professionals,Reporting on customer feedback and requirements to manufacturers,0.65
1070,2431,Advertising And Marketing Professionals,Developing and devising creative ideas for an advertising campaign for a brand or business,0.4
1071,2431,Advertising And Marketing Professionals,"Advising clients on how, when and where to spend their advertising budgets",0.65
1072,2431,Advertising And Marketing Professionals,"Providing direct, creative and strategic communication with the target audience, e.g. direct mail and direct response radio advertising",0.65
1073,2431,Advertising And Marketing Professionals,Interacting with the media,0.4
1074,2431,Advertising And Marketing Professionals,Enhancing knowledge and coordinating work performance,0.65
1075,2432,Public Relations Professionals,"Managing press conferences, draft press releases, briefing notes and information publications, exhibitions and annual reports",0.65
1076,2432,Public Relations Professionals,"Writing and editing press releases, in-house newsletters, speeches, articles and annual reports",0.75
1077,2432,Public Relations Professionals,Maintaining and updating information on the organisation’s website,0.75
1078,2432,Public Relations Professionals,"Preparing and supervising the production of publicity brochures, handouts, promotional videos, photographs, films and multimedia programmes",0.65
1079,2432,Public Relations Professionals,"Responding to queries from individuals, journalists and other organisations",0.65
1080,2432,Public Relations Professionals,"Giving briefings at presentations, press conferences, radio and television interviews, and meetings",0.4
1081,2432,Public Relations Professionals,"Developing and maintaining good working relations with the media, including local and national newspapers, magazines, radio and television",0.45
1082,2432,Public Relations Professionals,"Organising special events such as press conferences, exhibitions, open days, tours, competitions and sponsorship",0.4
1083,2432,Public Relations Professionals,Fostering community relations through events such as open days and involvement in community initiatives,0.3
1084,2432,Public Relations Professionals,"Focusing on improving the well-being of individuals, families and the community. planning, research and evaluation",0.45
1085,2432,Public Relations Professionals,Planning research and evaluation,0.45
1086,2432,Public Relations Professionals,Enhancing knowledge and coordinating work performance,0.45
1087,2433,Technical And Medical Sales Professionals (Excluding ICT),Assessing clients' needs and recommending appropriate goods or services,0.65
1088,2433,Technical And Medical Sales Professionals (Excluding ICT),"Attending company meetings, technical data presentations and briefings",0.4
1089,2433,Technical And Medical Sales Professionals (Excluding ICT),"Being sensitive to the development of the National Health Service (NHS), anticipating potential negative and positive impacts on the business and adopting appropriate strategies",0.45
1090,2433,Technical And Medical Sales Professionals (Excluding ICT),Keeping abreast of the health service activities in a particular area,0.65
1091,2433,Technical And Medical Sales Professionals (Excluding ICT),Providing information on the design for products or services which shall be in accordance with customer requirements,0.65
1092,2433,Technical And Medical Sales Professionals (Excluding ICT),Preparing reports and working papers to carry out a demonstration of the benefits of a product or service,0.65
1093,2433,Technical And Medical Sales Professionals (Excluding ICT),"Arranging delivery of goods, installation of equipment and provision of services",0.45
1094,2433,Technical And Medical Sales Professionals (Excluding ICT),"Planning, research and evaluation",0.65
1095,2433,Technical And Medical Sales Professionals (Excluding ICT),Enhancing knowledge and coordinating work performance,0.65
1096,2434,Information And Communications Technology (ICT) Sales Professionals,"Soliciting orders and selling goods to retail, industrial, wholesale and other establishments",0.65
1097,2434,Information And Communications Technology (ICT) Sales Professionals,"Selling technical equipment, supplies and services to business establishments or individuals",0.65
1098,2434,Information And Communications Technology (ICT) Sales Professionals,"Discussing the needs of new and existing customers and providing specialised information about how specific equipment, supplies and services meet those needs",0.65
1099,2434,Information And Communications Technology (ICT) Sales Professionals,"Quoting and negotiating prices and credit terms, completing contracts and recording orders",0.65
1100,2434,Information And Communications Technology (ICT) Sales Professionals,Updating customer records and preparing sales reports,0.75
1101,2434,Information And Communications Technology (ICT) Sales Professionals,"Arranging delivery of goods, installation of equipment and provision of services",0.45
1102,2434,Information And Communications Technology (ICT) Sales Professionals,Reporting customers’ reactions and requirements to manufacturers,0.65
1103,2511,Computer Systems Analysts,Preparing program specifications for Computer Programmers,0.75
1104,2511,Computer Systems Analysts,"Conducting research, analysing and evaluating information technology requirements, procedures or customer problems",0.65
1105,2511,Computer Systems Analysts,"Developing, implementing recommendations and plans for improving current or future information systems",0.45
1106,2511,Computer Systems Analysts,"Identifying and evaluating inefficiencies and analysing processes, procedures and work practices to optimise organisational performance",0.65
1107,2511,Computer Systems Analysts,"Creating, taking on and implementing system testing projects",0.65
1108,2511,Computer Systems Analysts,Developing functional specifications for use by system developers,0.65
1109,2511,Computer Systems Analysts,Expanding or modifying systems to improve work flow or new services,0.45
1110,2511,Computer Systems Analysts,Coordinating and linking the computer systems within an organisation to increase optimise organisational operation,0.45
1111,2511,Computer Systems Analysts,Enhancing knowledge and coordinating work performance,0.65
1112,2512,Software Developers,"Studying, analysing and evaluating requirements for software applications and operating systems",0.65
1113,2512,Software Developers,"Studying, designing and developing computer software systems",0.6
1114,2512,Software Developers,Consulting with engineering staff to evaluate interfaces between hardware and software,0.4
1115,2512,Software Developers,Developing and directing software testing and procedure validation,0.45
1116,2512,Software Developers,"Modifying existing software to correct errors, to adapt it to new hardware or to upgrade interfaces and improve performance",0.65
1117,2512,Software Developers,Directing software programming and development of documentation,0.45
1118,2512,Software Developers,"Assessing, developing, upgrading and documenting maintenance procedures for operating systems, communication environments and application software",0.45
1119,2512,Software Developers,Consulting with customers concerning maintenance of software system,0.4
1120,2512,Software Developers,Enhancing knowledge and coordinating work performance,0.65
1121,2513,Web And Multimedia Developers,"Analyze, design and develop Internet sites by using the results of art and creativity by using software programming and scripting languages and interfacing with the operating environment",0.7
1122,2513,Web And Multimedia Developers,"Designing and developing digital animation, imaging, presentations, games, audio and video clips, and Internet applications using multimedia software, tools and utilities, interactive graphics and programming languages",0.65
1123,2513,Web And Multimedia Developers,"Liaise with network experts regarding web-related issues such as website security and hosting to control and enforce Internet and web server security, space allocation, user access, website backup and planning disaster recovery",0.35
1124,2513,Web And Multimedia Developers,"Designing, developing and integrating computer code with other specialised inputs such as image files, audio files and scripting languages to produce, maintain and support websites",0.65
1125,2513,Web And Multimedia Developers,"Assisting in analysing, specifying and developing Internet strategies, web-based methodologies and development plans",0.65
1126,2513,Web And Multimedia Developers,Enhancing knowledge and coordinating work performance,0.65
1127,2514,Application Programmers,Writing and maintaining the program code outlined in instructions and specifications in accordance with quality accredited standards,0.7
1128,2514,Application Programmers,"Revising, repairing or expanding existing programs to increase operating efficiency or adapt to new requirements",0.65
1129,2514,Application Programmers,Conducting trial runs of programs and software applications to confirm that they will produce the desired information,0.7
1130,2514,Application Programmers,Compiling and writing documentation of program development,0.75
1131,2514,Application Programmers,"Identifying and communicating technical problems, processes and solutions",0.65
1132,2514,Application Programmers,Enhancing knowledge and coordinating work performance,0.65
1133,2519,Software And Application Developers And Analysts Not Elsewhere Classified,Developing and documenting software testing plans,0.65
1134,2519,Software And Application Developers And Analysts Not Elsewhere Classified,Installing software and hardware and configuring operating system software in preparation for testing,0.3
1135,2519,Software And Application Developers And Analysts Not Elsewhere Classified,Verifying that programme functions are according to user requirements and established guidelines,0.65
1136,2519,Software And Application Developers And Analysts Not Elsewhere Classified,"Executing, analysing and documenting results of software application tests and information and telecommunication system tests",0.65
1137,2519,Software And Application Developers And Analysts Not Elsewhere Classified,"Developing and implementing software and basic information system testing, procedures and scripts",0.65
1138,2519,Software And Application Developers And Analysts Not Elsewhere Classified,Enhancing knowledge and coordinating work performance,0.65
1139,2521,Database Designers And Administrators,Designing and developing database architecture and structures for information system projects,0.4
1140,2521,Database Designers And Administrators,"Designing, constructing, modifying, integrating, implementing and testing database management systems",0.45
1141,2521,Database Designers And Administrators,"Conducting research and advising on the selection, application and implementation of database management tools",0.65
1142,2521,Database Designers And Administrators,"Developing and implementing data administration policy, documentation, standards and models",0.45
1143,2521,Database Designers And Administrators,Developing policies and procedures for database backup and data recovery,0.45
1144,2521,Database Designers And Administrators,"Conducting preventive operations and maintenance of backups and recovery, and enforcing security and integrity controls",0.45
1145,2521,Database Designers And Administrators,Enhancing knowledge and coordinating work performance,0.65
1146,2522,Information Technology System Administrators,"Maintaining and administering computer networks and related computing environments including computer hardware, system software, application software and all configurations",0.4
1147,2522,Information Technology System Administrators,"Recommending changes to improve systems and network configurations, and determining hardware or software requirements related to such changes",0.45
1148,2522,Information Technology System Administrators,Diagnosing hardware and software problems,0.4
1149,2522,Information Technology System Administrators,Performing data backup and disaster recovery operation,0.4
1150,2522,Information Technology System Administrators,"Operating master consoles to monitor the performance of computer systems and networks, and coordinating computer network access and use",0.65
1151,2522,Information Technology System Administrators,Enhancing knowledge and coordinating work performance,0.65
1152,2523,Computer Network Professionals,"Analysing, developing, interpreting and evaluating complex system designs and architectural specifications, data models and diagrams in computer system development configuration and integration",0.45
1153,2523,Computer Network Professionals,"Investigating, analysing, evaluating and monitoring the network infrastructure to ensure networks are configured to operate at optimum performance",0.35
1154,2523,Computer Network Professionals,"Assessing and recommending improvements to network operations and integrated hardware, software, communications and operating systems",0.45
1155,2523,Computer Network Professionals,Providing specialist skills in supporting and troubleshooting network problems and emergencies,0.4
1156,2523,Computer Network Professionals,"Installing, configuring, testing, maintaining and administering new and upgraded networks, software database applications, servers and workstations",0.3
1157,2523,Computer Network Professionals,Providing network programming to support business and special requirements,0.35
1158,2523,Computer Network Professionals,"Providing and maintaining procedures and documentation for network inventory, and recording diagnoses and resolutions of network faults, enhancements and modifications to the network, and maintenance instructions",0.65
1159,2523,Computer Network Professionals,Enhancing knowledge and coordinating work performance,0.45
1160,2524,Data Professionals,"Prepare documentation to outline data sources, models and algorithms used and developed",0.75
1161,2524,Data Professionals,Extract data from data sources,0.85
1162,2524,Data Professionals,Propose new uses for existing data sources and structures,0.65
1163,2524,Data Professionals,Integrate multiple data sets to build large and complex data sets,0.7
1164,2524,Data Professionals,"Build software to scrub, combine and manage data",0.7
1165,2524,Data Professionals,"Apply data mining techniques to investigate leads, identify patterns and regularities in data",0.75
1166,2524,Data Professionals,Implement automated processes to produce scale models,0.45
1167,2524,Data Professionals,"Develop complex code, scripts and data pipelines to process structured and unstructured data",0.65
1168,2524,Data Professionals,Test data system configurations to increase efficiency,0.65
1169,2524,Data Professionals,"Enable searching, data visualisation, and advanced analytics functionality",0.75
1170,2524,Data Professionals,Monitor data system performance,0.75
1171,2524,Data Professionals,Facilitate data cleansing and enrichment,0.75
1172,2524,Data Professionals,Perform data validation and quality control checks,0.75
1173,2531,Cyber Security Professionals,"Conceptualizes, designs, procures, and/or builds secure information technology systems, with responsibility for aspects of system and/or network development",0.3
1174,2531,Cyber Security Professionals,"Provides the support, administration, and maintenance necessary to ensure effective and efficient information technology system performance and security",0.35
1175,2531,Cyber Security Professionals,"Provides leadership, management, direction, or development and advocacy so the organization may effectively conduct cybersecurity work",0.25
1176,2531,Cyber Security Professionals,"Identifies, analyzes, and mitigates threats to internal information technology systems and/or networks",0.4
1177,2531,Cyber Security Professionals,Performs highly-specialized review and evaluation of incoming cybersecurity information to determine its usefulness for intelligence,0.45
1178,2531,Cyber Security Professionals,Provides specialized denial and deception operations and collection of cybersecurity information that may be used to develop intelligence,0.35
1179,2531,Cyber Security Professionals,"Investigates cybersecurity events or crimes related to information technology systems, networks, and digital evidence",0.35
1180,2541,Animation And Visual Effects Professionals,Conceptualize the digital content with artistic and technical knowledge,0.65
1181,2541,Animation And Visual Effects Professionals,Plan and organize the workflow and production pipeline to ensure quality output,0.45
1182,2541,Animation And Visual Effects Professionals,"Defining the content either visually, verbally or in written form regarding to the final output format",0.65
1183,2541,Animation And Visual Effects Professionals,Implementing or assisting in the implementation of that digital content,0.65
1184,2541,Animation And Visual Effects Professionals,Analyze and evaluate multiple options in decision-making process to make sure the most optimum solution is chosen,0.45
1185,2541,Animation And Visual Effects Professionals,Communicate clearly with the with supervisor and subordinates to ensure task deliveries are met in a timely manner,0.3
1186,2541,Animation And Visual Effects Professionals,Collaborate proactively with the other members of the team including from different expertise to solve problems,0.3
1187,2541,Animation And Visual Effects Professionals,Iterate creation of digital content to improve output quality,0.65
1188,2541,Animation And Visual Effects Professionals,Enhancing knowledge and coordinating work performance,0.45
1189,2542,Digital Games And E-Sport Professionals,"Organises the creation of a game content, makes it happen on time and within the budget",0.35
1190,2542,Digital Games And E-Sport Professionals,"Creates the look, feel and story of a game, decides how the game will play",0.35
1191,2542,Digital Games And E-Sport Professionals,"Creates the artwork, such 2D, 3D, animation for visual art assets for the game",0.65
1192,2542,Digital Games And E-Sport Professionals,"Composes the music and creates the sound effects, integrates them into the game",0.4
1193,2542,Digital Games And E-Sport Professionals,Implement features and functionalities through the programming to make the game fun to play,0.4
1194,2542,Digital Games And E-Sport Professionals,"Test the game to identify the mistakes in games, checks them for bugs, glitches and any errors",0.4
1195,2542,Digital Games And E-Sport Professionals,Collaborate proactively with the other members of the team including from different expertise to solve problems,0.3
1196,2542,Digital Games And E-Sport Professionals,Optimise digital content for real-time performance efficiency,0.65
1197,2542,Digital Games And E-Sport Professionals,Enhancing knowledge and coordinating work performance,0.45
1198,2543,Creative Contents Designer Professionals,"Creating world class, user centered designs through considerations of user research, business requirements, customer feedback and usability study findings",0.4
1199,2543,Creative Contents Designer Professionals,"Develop conceptual diagrams, wireframes, visual mockups, prototypes and visual design of web and mobile applications",0.65
1200,2543,Creative Contents Designer Professionals,Develop and maintain detailed user interface specifications,0.65
1201,2543,Creative Contents Designer Professionals,"Present design works to user experience, product, business owners for review and feedback",0.4
1202,2543,Creative Contents Designer Professionals,"Create and implement usability studies, personas, navigational structures, and affinity diagrams",0.4
1203,2543,Creative Contents Designer Professionals,"Provide usability recommendations based on industry best practices, analytics, and user behavior",0.65
1204,2543,Creative Contents Designer Professionals,Collaborate proactively with the other members of the team including from different expertise to solve problems,0.3
1205,2543,Creative Contents Designer Professionals,Optimise user experience based on the compilation of data analytics of user activities,0.65
1206,2543,Creative Contents Designer Professionals,Enhancing knowledge and coordinating work performance,0.65
1207,2611,Lawyers,"Supervising and administering the Legal Aid Bureau branches, drafting statements of claim, statements of defence, petitions, affidavits, giving legal advice to eligible clients, representing clients in trials in the Court of Appeal, High Court, Magistrates’ Court and the Sharia Court",0.25
1208,2611,Lawyers,"Managing the Syariah Court in the district, acting as the Syariah Subordinate Court Judge, preparing the grounds of judgment of appeal cases, legal reports for publication in the Syariah Law Journal and certifying the application certificate in estate distribution under the designated jurisdiction",0.2
1209,2611,Lawyers,Drafting legislation and preparing government regulations based on existing laws,0.45
1210,2611,Lawyers,Providing legal advice to clients (including the government) on a wide variety of subjects and undertaking legal business on clients' behalf,0.3
1211,2611,Lawyers,Assisting clients to negotiate settlements in matters which involve legal disputes,0.3
1212,2611,Lawyers,Examining the circumstances of disputes or reported crimes to ascertain facts and their legal implications,0.3
1213,2611,Lawyers,Preparing pleadings or cases for the plaintiff or defendant and conducting them in court,0.2
1214,2611,Lawyers,Representing clients in the lower court or instructing barristers or advocates to plead in higher courts of justice,0.2
1215,2611,Lawyers,Receiving briefs and pleading in a higher court,0.3
1216,2611,Lawyers,Acting as prosecutor on behalf of the government in criminal cases,0.2
1217,2611,Lawyers,"Drawing up legal documents, wills, affidavits, contracts and administering oaths",0.6
1218,2611,Lawyers,Enhancing knowledge and coordinating work performance,0.4
1219,2612,Judges,Hearing and weighing arguments and evidence,0.2
1220,2612,Judges,Interpreting and enforcing regulatory procedure and making rulings on the admissibility of evidence,0.2
1221,2612,Judges,Directing the jury on the legal details applicable to the case,0.1
1222,2612,Judges,Researching a legal issue and preparing a report on the issue,0.6
1223,2612,Judges,Determining the rights and obligations of the parties involved,0.2
1224,2612,Judges,Pronouncing judgment,0.1
1225,2612,Judges,Enhancing knowledge and coordinating work performance,0.2
1226,2619,Legal Professionals Not Elsewhere Classified,Drawing up legal documents and affirming and administering oaths and statutory declarations,0.65
1227,2619,Legal Professionals Not Elsewhere Classified,Implementing legal policy and regulations,0.4
1228,2619,Legal Professionals Not Elsewhere Classified,Performing administration work in courts of law,0.45
1229,2619,Legal Professionals Not Elsewhere Classified,Administering the estates of deceased persons or other trusts,0.4
1230,2619,Legal Professionals Not Elsewhere Classified,Taking charge and administering estates of insolvents (bankrupts) or properties and assets of companies,0.35
1231,2619,Legal Professionals Not Elsewhere Classified,"Determining, by inquest, the causes of any death not obviously due to natural causes",0.15
1232,2619,Legal Professionals Not Elsewhere Classified,Enhancing knowledge and coordinating work performance,0.45
1233,2711,Hotel Professionals,"Planning and improving operational management of hotels, restaurants and establishments",0.45
1234,2711,Hotel Professionals,"Organizing accommodation, catering and other hotel services",0.65
1235,2711,Hotel Professionals,Promoting and marketing the business,0.65
1236,2711,Hotel Professionals,"Implementing the budget plan, finance and control expenses",0.45
1237,2711,Hotel Professionals,Setting and achieving sales and profit targets,0.45
1238,2711,Hotel Professionals,"Recruiting, training and monitoring staff",0.4
1239,2711,Hotel Professionals,Planning work schedules for individuals and teams,0.65
1240,2711,Hotel Professionals,Meeting and greeting customers,0.2
1241,2711,Hotel Professionals,Handling customer complaints and comments,0.7
1242,2711,Hotel Professionals,Addressing and resolving problems,0.4
1243,2711,Hotel Professionals,Ensuring events and conferences run smoothly,0.4
1244,2711,Hotel Professionals,"Supervising maintenance, supplies, renovations and furnishings",0.35
1245,2711,Hotel Professionals,Dealing with contractors and suppliers,0.45
1246,2711,Hotel Professionals,Ensuring security is effective,0.3
1247,2711,Hotel Professionals,Carrying out inspections of property and services,0.2
1248,2712,Restaurant Professionals,Planning and improving the management of restaurant operations,0.45
1249,2712,Restaurant Professionals,Analyzing the level of sales and profit restaurant,0.75
1250,2712,Restaurant Professionals,Planning and coordinating menus,0.65
1251,2712,Restaurant Professionals,Coordinating the entire operation of the restaurant during scheduled shifts,0.3
1252,2712,Restaurant Professionals,Ensuring all employees adhere to the company's uniform standards,0.2
1253,2712,Restaurant Professionals,Meeting and greeting customers and organizing table reservations,0.4
1254,2712,Restaurant Professionals,Advising customers on menu and beverage choices,0.65
1255,2712,Restaurant Professionals,"Organizing and supervising the shifts of kitchen, waiting and cleaning staff",0.4
1256,2712,Restaurant Professionals,"Maintaining high standards of quality control, hygiene and health and safety",0.3
1257,2712,Restaurant Professionals,Inspecting stockpiles and ordering supplies,0.3
1258,2712,Restaurant Professionals,Providing petty cash as required,0.2
1259,2712,Restaurant Professionals,Implementing policies,0.45
1260,2712,Restaurant Professionals,Preparing the budget estimates,0.65
1261,2712,Restaurant Professionals,Planning and controlling the use of resources and recruitment,0.45
1262,2712,Restaurant Professionals,Enhancing knowledge and coordinating the work performance,0.4
1263,2811,Archivists And Curators,"Identifying the institutions / individuals in any country as may be necessary to obtain all kinds of archival material relating to Malaysia and managing procurement processing, classification, translation, publishing and reference description preparation of such materials",0.45
1264,2811,Archivists And Curators,"Carrying out management and administrative tasks, planning, coordinating and implementing activities such as museum exhibits, preservation and conservation of ancient objects, research on archaeology, flora and fauna, national culture, offering museology advice and preparing reports on research findings",0.35
1265,2811,Archivists And Curators,"Researching into, appraising, developing, managing and preserving historically significant and valuable documents",0.35
1266,2811,Archivists And Curators,"Directing or carrying out the preparation of indexes, bibliographies, microfilm copies and other reference aids of the collection of materials and making them available to users",0.75
1267,2811,Archivists And Curators,"Researching into the origin, distribution and use of materials and objects of cultural and historical interest",0.35
1268,2811,Archivists And Curators,"Managing, developing and maintaining collections of items of artistic, cultural, scientific or historical significance in museums or art galleries",0.3
1269,2811,Archivists And Curators,Cataloguing museum and art gallery collections and organising exhibitions,0.45
1270,2811,Archivists And Curators,Maintaining records,0.65
1271,2811,Archivists And Curators,Enhancing knowledge and coordinating work performance,0.45
1272,2812,Librarians And Related Information Professionals,"Carrying out administrative tasks and financial management, human resource management and supervision, maintaining and ensuring the security of information sources and ICT applications in libraries",0.45
1273,2812,Librarians And Related Information Professionals,"Classifying or supervising classification, indexing, cataloguing, circulation of library materials and maintaining records",0.75
1274,2812,Librarians And Related Information Professionals,Selecting and recommending acquisitions of books and other printed materials or audio-visual recordings,0.65
1275,2812,Librarians And Related Information Professionals,Assisting inquirers and retrieving information from manual files or computerised databases,0.75
1276,2812,Librarians And Related Information Professionals,Supervising the maintenance of books and other materials,0.4
1277,2812,Librarians And Related Information Professionals,Managing interlibrary loan systems and information networks,0.45
1278,2812,Librarians And Related Information Professionals,Maintaining liaison with other libraries and library associations,0.3
1279,2812,Librarians And Related Information Professionals,Enhancing knowledge and coordinating work performance,0.65
1280,2821,Economists,"Compiling, analysing and interpreting economic and statistical data",0.65
1281,2821,Economists,Preparing reports on research findings,0.75
1282,2821,Economists,"Advising on economic policy and course of action to be followed in the light of analyses of past, present and projected economic factors",0.45
1283,2821,Economists,Enhancing knowledge and coordinating work performance,0.65
1284,2822,"Sociologists, Anthropologists And Related Professionals","Planning research programmes including designing studies, collection and analysis of information and its assessment, on the national development policies and programmes",0.35
1285,2822,"Sociologists, Anthropologists And Related Professionals","Conducting research on the origin, development, structure, social patterns, organisations and inter-relationships of human society",0.35
1286,2822,"Sociologists, Anthropologists And Related Professionals",Tracing the origin and evolution of humanity through the study of changing characteristics and cultural and social institutions,0.25
1287,2822,"Sociologists, Anthropologists And Related Professionals","Tracing the development of humanity through relics such as dwellings, temples, tools, pottery, coins, weapons or sculptures",0.35
1288,2822,"Sociologists, Anthropologists And Related Professionals",Enhancing knowledge and coordinating work performance,0.45
1289,2823,"Philosophers, Historians And Political Scientists","Researching, specifically through reasoning, into the general causes, principles and meaning of the world, human actions, experience and existence, and interpreting and developing philosophical concepts and theories",0.3
1290,2823,"Philosophers, Historians And Political Scientists",Consulting and comparing primary sources such as original contemporary records of past events and secondary sources such as archaeological or anthropological findings,0.4
1291,2823,"Philosophers, Historians And Political Scientists","Extracting relevant material, check its authenticity as well as research and create a historical picture for a certain period, state or area or certain aspects for example, economic, social, or political history",0.65
1292,2823,"Philosophers, Historians And Political Scientists","Conducting research in such fields as political philosophy, or theory and practice of systems, institutions or past and current political situations",0.45
1293,2823,"Philosophers, Historians And Political Scientists",Observing contemporary political institutions and collecting data on them from various sources including interviews with government and political party officials and other relevant persons,0.35
1294,2823,"Philosophers, Historians And Political Scientists","Presenting findings and conclusions in publications for use by government, political parties or other organisations and interested persons",0.45
1295,2823,"Philosophers, Historians And Political Scientists",Enhancing knowledge and coordinating work performance,0.45
1296,2824,Psychologists,"Planning, implementing and coordinating activities related to psychology / clinical psychology / counselling for the client",0.3
1297,2824,Psychologists,"Advising on, planning and carrying out tests to measure mental, physical and other characteristics such as intelligence, abilities, attitudes and potential, and interpreting and evaluating results",0.4
1298,2824,Psychologists,"Analysing heredity, social, occupational effects and those caused by other factors on individual thought and behaviour",0.25
1299,2824,Psychologists,Holding counselling sessions or therapeutic treatment and providing follow-up services,0.2
1300,2824,Psychologists,"Maintaining communication with family members, educational authorities or employers and recommending possible solutions to and treatment of problems",0.35
1301,2824,Psychologists,"Studying psychological factors in the diagnosis, treatment and prevention of mental illnesses and emotional or personality disorders, and conferring with related professionals",0.2
1302,2824,Psychologists,Enhancing knowledge and coordinating work performance,0.35
1303,2825,Social Work And Counselling Professionals,"Planning, implementing and coordinating activities related to psychology / clinical psychology / counselling for the client",0.3
1304,2825,Social Work And Counselling Professionals,Helping individuals and families with personal and social problems,0.3
1305,2825,Social Work And Counselling Professionals,Collecting information relevant to clients’ needs and advising them on their rights and obligations,0.4
1306,2825,Social Work And Counselling Professionals,Analysing the clients’ situation and presenting alternative approaches to resolving problems,0.4
1307,2825,Social Work And Counselling Professionals,Preparing and compiling case records or reports for court and other legal proceedings,0.65
1308,2825,Social Work And Counselling Professionals,"Providing guidance to at-risk youth and rehabilitating troubled youth by organising and supervising social, educational and recreational activities in youth clubs, community centres and similar organisations",0.2
1309,2825,Social Work And Counselling Professionals,Helping physically or mentally handicapped persons to obtain adequate treatment and improve their ability to function in society,0.2
1310,2825,Social Work And Counselling Professionals,"Planning, organising or providing home-help services",0.3
1311,2825,Social Work And Counselling Professionals,Monitoring the progress of clients,0.4
1312,2825,Social Work And Counselling Professionals,"Formulating policies, plan programmes and activities related to youth and sports activities at the Ministry/Department level. Includes providing financial assistance, providing expert advice and ongoing supervision in developing youth and sports programmes",0.35
1313,2825,Social Work And Counselling Professionals,"Helping ensuring the implementation of policies for rehabilitation programs at institution and community, and drug-related law enforcement and prevention programs",0.3
1314,2825,Social Work And Counselling Professionals,Enhancing knowledge and coordinating work performance,0.35
1315,2826,Religious Professionals,Being responsible to the Mufti in carrying out research and preparation to enable the Mufti to issue a fatwa on the effectiveness of a planned programme,0.3
1316,2826,Religious Professionals,"Perpetuating sacred traditions, practices and beliefs",0.1
1317,2826,Religious Professionals,Leading religious rites and ceremonies,0.1
1318,2826,Religious Professionals,Undertaking various administrative and social duties including being in committees and attending meetings of religious organisations,0.2
1319,2826,Religious Professionals,Providing spiritual and moral guidance in accordance with the religion professed,0.2
1320,2826,Religious Professionals,Propagating religious doctrines,0.3
